29										/mnt/SSD3/Dropbox/workspace/2.research/01.Sources/01.Primary/01.Manuscripts/01.Archives/02.ENGLAND & WALES/TNA, National Archives (UK)/T71, Registry of Colonial Slaves and Compensation/(001-671), Slave Registers, 1817-32/(391-436), Demerara & Essequebo/(406-413), 1823/(ALL, DIGEST)/20230517, D.ALSTON/02_ODS/ALL.[+].ods{2}
30		Slave-owner								/mnt/SSD3/Dropbox/workspace/2.research/01.Sources/01.Primary/01.Manuscripts/01.Archives/02.ENGLAND & WALES/TNA, National Archives (UK)/T71, Registry of Colonial Slaves and Compensation/(001-671), Slave Registers, 1817-32/(391-436), Demerara & Essequebo/(406-413), 1823/(ALL, DIGEST)/20230517, D.ALSTON/02_ODS/ALL.[+].ods
30										/mnt/SSD3/Dropbox/workspace/2.research/01.Sources/01.Primary/01.Manuscripts/01.Archives/02.ENGLAND & WALES/TNA, National Archives (UK)/T71, Registry of Colonial Slaves and Compensation/(001-671), Slave Registers, 1817-32/(391-436), Demerara & Essequebo/(406-413), 1823/(ALL, DIGEST)/20230517, D.ALSTON/02_ODS/ALL.[+].ods{2}
31		Slave-owner								/mnt/SSD3/Dropbox/workspace/2.research/01.Sources/01.Primary/01.Manuscripts/01.Archives/02.ENGLAND & WALES/TNA, National Archives (UK)/T71, Registry of Colonial Slaves and Compensation/(001-671), Slave Registers, 1817-32/(391-436), Demerara & Essequebo/(406-413), 1823/(ALL, DIGEST)/20230517, D.ALSTON/02_ODS/ALL.[+].ods
31										/mnt/SSD3/Dropbox/workspace/2.research/01.Sources/01.Primary/01.Manuscripts/01.Archives/02.ENGLAND & WALES/TNA, National Archives (UK)/T71, Registry of Colonial Slaves and Compensation/(001-671), Slave Registers, 1817-32/(391-436), Demerara & Essequebo/(406-413), 1823/(ALL, DIGEST)/20230517, D.ALSTON/02_ODS/ALL.[+].ods{2}
32		Slave-owner								/mnt/SSD3/Dropbox/workspace/2.research/01.Sources/01.Primary/01.Manuscripts/01.Archives/02.ENGLAND & WALES/TNA, National Archives (UK)/T71, Registry of Colonial Slaves and Compensation/(001-671), Slave Registers, 1817-32/(391-436), Demerara & Essequebo/(406-413), 1823/(ALL, DIGEST)/20230517, D.ALSTON/02_ODS/ALL.[+].ods
32										/mnt/SSD3/Dropbox/workspace/2.research/01.Sources/01.Primary/01.Manuscripts/01.Archives/02.ENGLAND & WALES/TNA, National Archives (UK)/T71, Registry of Colonial Slaves and Compensation/(001-671), Slave Registers, 1817-32/(391-436), Demerara & Essequebo/(406-413), 1823/(ALL, DIGEST)/20230517, D.ALSTON/02_ODS/ALL.[+].ods{2}
33		Slave-owner								/mnt/SSD3/Dropbox/workspace/2.research/01.Sources/01.Primary/01.Manuscripts/01.Archives/02.ENGLAND & WALES/TNA, National Archives (UK)/T71, Registry of Colonial Slaves and Compensation/(001-671), Slave Registers, 1817-32/(391-436), Demerara & Essequebo/(406-413), 1823/(ALL, DIGEST)/20230517, D.ALSTON/02_ODS/ALL.[+].ods
33										/mnt/SSD3/Dropbox/workspace/2.research/01.Sources/01.Primary/01.Manuscripts/01.Archives/02.ENGLAND & WALES/TNA, National Archives (UK)/T71, Registry of Colonial Slaves and Compensation/(001-671), Slave Registers, 1817-32/(391-436), Demerara & Essequebo/(406-413), 1823/(ALL, DIGEST)/20230517, D.ALSTON/02_ODS/ALL.[+].ods{2}
34		Slave-owner								/mnt/SSD3/Dropbox/workspace/2.research/01.Sources/01.Primary/01.Manuscripts/01.Archives/02.ENGLAND & WALES/TNA, National Archives (UK)/T71, Registry of Colonial Slaves and Compensation/(001-671), Slave Registers, 1817-32/(391-436), Demerara & Essequebo/(406-413), 1823/(ALL, DIGEST)/20230517, D.ALSTON/02_ODS/ALL.[+].ods
